Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
os-05-shadow,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,3,,,,,OS-05-SHADOW-3,500,shopify,50,deny,manual,175,,TRUE,TRUE,,,,,FALSE,OS-05 - Shadow Black — OUTTERSPACE,Buy OS-05 - Shadow Black from the Outterspace Cowboy Series 01.,active
os-06-glacier,OS-06 - Glacier Blue,<p>BONDED HIGH-LOFT SHERPA POLAR FLEECE PULLOVER.</p>,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,1,,,,,OS-06-GLACIER-1,500,shopify,50,deny,manual,160,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/your_store/39.png,1,OS-06 - Glacier Blue,FALSE,OS-06 - Glacier Blue — OUTTERSPACE,Buy OS-06 - Glacier Blue from the Outterspace Cowboy Series 01.,active
os-06-glacier,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,2,,,,,OS-06-GLACIER-2,500,shopify,50,deny,manual,160,,TRUE,TRUE,,,,,FALSE,OS-06 - Glacier Blue — OUTTERSPACE,Buy OS-06 - Glacier Blue from the Outterspace Cowboy Series 01.,active
os-06-glacier,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,3,,,,,OS-06-GLACIER-3,500,shopify,50,deny,manual,160,,TRUE,TRUE,,,,,FALSE,OS-06 - Glacier Blue — OUTTERSPACE,Buy OS-06 - Glacier Blue from the Outterspace Cowboy Series 01.,active
os-07-charcoal,OS-07 - Charcoal,<p>HEAVYWEIGHT 400 GSM THERMAL WAFFLE CREWNECK.</p>,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,1,,,,,OS-07-CHARCOAL-1,500,shopify,50,deny,manual,110,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/your_store/42.png,1,OS-07 - Charcoal,FALSE,OS-07 - Charcoal — OUTTERSPACE,Buy OS-07 - Charcoal from the Outterspace Cowboy Series 01.,active
os-07-charcoal,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,2,,,,,OS-07-CHARCOAL-2,500,shopify,50,deny,manual,110,,TRUE,TRUE,,,,,FALSE,OS-07 - Charcoal — OUTTERSPACE,Buy OS-07 - Charcoal from the Outterspace Cowboy Series 01.,active
os-07-charcoal,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,3,,,,,OS-07-CHARCOAL-3,500,shopify,50,deny,manual,110,,TRUE,TRUE,,,,,FALSE,OS-07 - Charcoal — OUTTERSPACE,Buy OS-07 - Charcoal from the Outterspace Cowboy Series 01.,active
os-08-oilskin,OS-08 - Raw Oilskin,<p>FULL-LENGTH WAXED CANVAS CANYON DUSTER COAT.</p>,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,1,,,,,OS-08-OILSKIN-1,500,shopify,50,deny,manual,420,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/your_store/43.png,1,OS-08 - Raw Oilskin,FALSE,OS-08 - Raw Oilskin — OUTTERSPACE,Buy OS-08 - Raw Oilskin from the Outterspace Cowboy Series 01.,active
os-08-oilskin,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,2,,,,,OS-08-OILSKIN-2,500,shopify,50,deny,manual,420,,TRUE,TRUE,,,,,FALSE,OS-08 - Raw Oilskin — OUTTERSPACE,Buy OS-08 - Raw Oilskin from the Outterspace Cowboy Series 01.,active
os-08-oilskin,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,3,,,,,OS-08-OILSKIN-3,500,shopify,50,deny,manual,420,,TRUE,TRUE,,,,,FALSE,OS-08 - Raw Oilskin — OUTTERSPACE,Buy OS-08 - Raw Oilskin from the Outterspace Cowboy Series 01.,active
os-09-chalk,OS-09 - Raw Chalk,<p>MINIMALIST BOXY TEE WITH TONAL NAPE EMBROIDERY.</p>,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,1,,,,,OS-09-CHALK-1,500,shopify,50,deny,manual,70,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/your_store/45.png,1,OS-09 - Raw Chalk,FALSE,OS-09 - Raw Chalk — OUTTERSPACE,Buy OS-09 - Raw Chalk from the Outterspace Cowboy Series 01.,active
os-09-chalk,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,2,,,,,OS-09-CHALK-2,500,shopify,50,deny,manual,70,,TRUE,TRUE,,,,,FALSE,OS-09 - Raw Chalk — OUTTERSPACE,Buy OS-09 - Raw Chalk from the Outterspace Cowboy Series 01.,active
os-09-chalk,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,3,,,,,OS-09-CHALK-3,500,shopify,50,deny,manual,70,,TRUE,TRUE,,,,,FALSE,OS-09 - Raw Chalk — OUTTERSPACE,Buy OS-09 - Raw Chalk from the Outterspace Cowboy Series 01.,active
os-10-nocturnal,OS-10 - Nocturnal,<p>DOUBLE LAYER 580 GSM SEAMLESS HOOD HOODIE.</p>,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,1,,,,,OS-10-NOCTURNAL-1,500,shopify,50,deny,manual,155,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/your_store/52.png,1,OS-10 - Nocturnal,FALSE,OS-10 - Nocturnal — OUTTERSPACE,Buy OS-10 - Nocturnal from the Outterspace Cowboy Series 01.,active
os-10-nocturnal,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,2,,,,,OS-10-NOCTURNAL-2,500,shopify,50,deny,manual,155,,TRUE,TRUE,,,,,FALSE,OS-10 - Nocturnal — OUTTERSPACE,Buy OS-10 - Nocturnal from the Outterspace Cowboy Series 01.,active
os-10-nocturnal,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,3,,,,,OS-10-NOCTURNAL-3,500,shopify,50,deny,manual,155,,TRUE,TRUE,,,,,FALSE,OS-10 - Nocturnal — OUTTERSPACE,Buy OS-10 - Nocturnal from the Outterspace Cowboy Series 01.,active
os-11-cyan,OS-11 - Cyan Wash,<p>MINERAL WASHED VINTAGE DRIFT TEE.</p>,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,1,,,,,OS-11-CYAN-1,500,shopify,50,deny,manual,85,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/your_store/54.png,1,OS-11 - Cyan Wash,FALSE,OS-11 - Cyan Wash — OUTTERSPACE,Buy OS-11 - Cyan Wash from the Outterspace Cowboy Series 01.,active
os-11-cyan,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,2,,,,,OS-11-CYAN-2,500,shopify,50,deny,manual,85,,TRUE,TRUE,,,,,FALSE,OS-11 - Cyan Wash — OUTTERSPACE,Buy OS-11 - Cyan Wash from the Outterspace Cowboy Series 01.,active
os-11-cyan,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,3,,,,,OS-11-CYAN-3,500,shopify,50,deny,manual,85,,TRUE,TRUE,,,,,FALSE,OS-11 - Cyan Wash — OUTTERSPACE,Buy OS-11 - Cyan Wash from the Outterspace Cowboy Series 01.,active
os-12-carbon,OS-12 - Carbon,<p>500 GSM BRUSHED FLEECE CARGO SWEATPANT.</p>,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,1,,,,,OS-12-CARBON-1,500,shopify,50,deny,manual,135,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/your_store/55.png,1,OS-12 - Carbon,FALSE,OS-12 - Carbon — OUTTERSPACE,Buy OS-12 - Carbon from the Outterspace Cowboy Series 01.,active
os-12-carbon,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,2,,,,,OS-12-CARBON-2,500,shopify,50,deny,manual,135,,TRUE,TRUE,,,,,FALSE,OS-12 - Carbon — OUTTERSPACE,Buy OS-12 - Carbon from the Outterspace Cowboy Series 01.,active
os-12-carbon,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,3,,,,,OS-12-CARBON-3,500,shopify,50,deny,manual,135,,TRUE,TRUE,,,,,FALSE,OS-12 - Carbon — OUTTERSPACE,Buy OS-12 - Carbon from the Outterspace Cowboy Series 01.,active
os-13-offwhite,OS-13 - Off-White,<p>BOXY POCKET TEE WITH ENGRAVED METAL STUD.</p>,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,1,,,,,OS-13-OFFWHITE-1,500,shopify,50,deny,manual,75,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/your_store/56.png,1,OS-13 - Off-White,FALSE,OS-13 - Off-White — OUTTERSPACE,Buy OS-13 - Off-White from the Outterspace Cowboy Series 01.,active
os-13-offwhite,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,2,,,,,OS-13-OFFWHITE-2,500,shopify,50,deny,manual,75,,TRUE,TRUE,,,,,FALSE,OS-13 - Off-White — OUTTERSPACE,Buy OS-13 - Off-White from the Outterspace Cowboy Series 01.,active
os-13-offwhite,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,3,,,,,OS-13-OFFWHITE-3,500,shopify,50,deny,manual,75,,TRUE,TRUE,,,,,FALSE,OS-13 - Off-White — OUTTERSPACE,Buy OS-13 - Off-White from the Outterspace Cowboy Series 01.,active
os-14-forest,OS-14 - Forest Sage,<p>500D CORDURA BALLISTIC NYLON TACTICAL VEST.</p>,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,1,,,,,OS-14-FOREST-1,500,shopify,50,deny,manual,190,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/your_store/59.png,1,OS-14 - Forest Sage,FALSE,OS-14 - Forest Sage — OUTTERSPACE,Buy OS-14 - Forest Sage from the Outterspace Cowboy Series 01.,active
os-14-forest,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,2,,,,,OS-14-FOREST-2,500,shopify,50,deny,manual,190,,TRUE,TRUE,,,,,FALSE,OS-14 - Forest Sage — OUTTERSPACE,Buy OS-14 - Forest Sage from the Outterspace Cowboy Series 01.,active
os-14-forest,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,3,,,,,OS-14-FOREST-3,500,shopify,50,deny,manual,190,,TRUE,TRUE,,,,,FALSE,OS-14 - Forest Sage — OUTTERSPACE,Buy OS-14 - Forest Sage from the Outterspace Cowboy Series 01.,active
os-15-sand,OS-15 - Bleached Sand,<p>290 GSM WASHED BELGIAN LINEN WORKSHIRT.</p>,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,1,,,,,OS-15-SAND-1,500,shopify,50,deny,manual,165,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/your_store/62.png,1,OS-15 - Bleached Sand,FALSE,OS-15 - Bleached Sand — OUTTERSPACE,Buy OS-15 - Bleached Sand from the Outterspace Cowboy Series 01.,active
os-15-sand,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,2,,,,,OS-15-SAND-2,500,shopify,50,deny,manual,165,,TRUE,TRUE,,,,,FALSE,OS-15 - Bleached Sand — OUTTERSPACE,Buy OS-15 - Bleached Sand from the Outterspace Cowboy Series 01.,active
os-15-sand,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,3,,,,,OS-15-SAND-3,500,shopify,50,deny,manual,165,,TRUE,TRUE,,,,,FALSE,OS-15 - Bleached Sand — OUTTERSPACE,Buy OS-15 - Bleached Sand from the Outterspace Cowboy Series 01.,active
os-16-tan,OS-16 - Saddle Tan,<p>4MM FULL GRAIN BRIDLE LEATHER ORBIT BELT.</p>,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,1,,,,,OS-16-TAN-1,500,shopify,50,deny,manual,95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/your_store/68.png,1,OS-16 - Saddle Tan,FALSE,OS-16 - Saddle Tan — OUTTERSPACE,Buy OS-16 - Saddle Tan from the Outterspace Cowboy Series 01.,active
os-16-tan,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,2,,,,,OS-16-TAN-2,500,shopify,50,deny,manual,95,,TRUE,TRUE,,,,,FALSE,OS-16 - Saddle Tan — OUTTERSPACE,Buy OS-16 - Saddle Tan from the Outterspace Cowboy Series 01.,active
os-16-tan,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,3,,,,,OS-16-TAN-3,500,shopify,50,deny,manual,95,,TRUE,TRUE,,,,,FALSE,OS-16 - Saddle Tan — OUTTERSPACE,Buy OS-16 - Saddle Tan from the Outterspace Cowboy Series 01.,active
os-17-rough,OS-17 - Desert Rough,<p>GOODYEAR WELTED ROUGHOUT SUEDE CREPE CHELSEA BOOT.</p>,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,1,,,,,OS-17-ROUGH-1,500,shopify,50,deny,manual,290,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/your_store/69.png,1,OS-17 - Desert Rough,FALSE,OS-17 - Desert Rough — OUTTERSPACE,Buy OS-17 - Desert Rough from the Outterspace Cowboy Series 01.,active
os-17-rough,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,2,,,,,OS-17-ROUGH-2,500,shopify,50,deny,manual,290,,TRUE,TRUE,,,,,FALSE,OS-17 - Desert Rough — OUTTERSPACE,Buy OS-17 - Desert Rough from the Outterspace Cowboy Series 01.,active
os-17-rough,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,3,,,,,OS-17-ROUGH-3,500,shopify,50,deny,manual,290,,TRUE,TRUE,,,,,FALSE,OS-17 - Desert Rough — OUTTERSPACE,Buy OS-17 - Desert Rough from the Outterspace Cowboy Series 01.,active
